item_code,total,blocked,auto_open,gates,title,description,images,category,pricing,variant,inventory,shipping_guide,discount,spec_length
N512P497017B,86,False,True,,14,2,14,12,12,8,8,6,6,4
N512P497017W,78,False,False,,14,2,14,12,12,8,0,6,6,4
N512P500440B,84,False,True,,14,2,14,12,12,8,8,6,4,4
N512P500440W,84,False,True,,14,2,14,12,12,8,8,6,4,4
N512P500445B,86,False,True,,14,2,14,12,12,8,8,6,6,4
N512P500445W,78,False,False,,14,2,14,12,12,8,0,6,6,4
N512P500452W,78,False,False,,14,2,14,12,12,8,0,6,6,4
N512P501956N,70,False,False,,8,2,14,12,12,8,0,6,4,4
N512P501956W,78,False,False,,8,2,14,12,12,8,8,6,4,4
N512P512952W,86,False,True,,14,2,14,12,12,8,8,6,6,4
N512P512953W,86,False,True,,14,2,14,12,12,8,8,6,6,4
N512P512954W,84,False,True,,14,2,14,12,12,8,8,6,4,4
N512P516850W,78,False,False,,8,2,14,12,12,8,8,6,4,4
N512S403839AA1,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403839CA1,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403839CG,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403839CH,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403839CL,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403839DA1,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403839EA1,59,True,False,BLOCKED:hollow_spec,2,2,13,12,12,8,0,6,2,2
N512S403841AA1,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841AK,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841AM,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841BA1,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841BG,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841BH,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841BJ,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841BK,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841BL,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841BM,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841CG,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841CK,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841CM,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841DA1,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841DH,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841DJ,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S403841FA1,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841FG,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841FH,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841FK,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403841FL,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S403856C,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939BA1,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S460939BH,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939BK,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939BL,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S460939CK,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S460939CL,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S460939CM,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
N512S460939DA,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939DG,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939DH,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939DJ,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939DK,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939DL,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939DM,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939EA,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939EH,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939EJ,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S460939EL,60,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,0,6,2,2
N512S488386N4,80,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,8,6,2,2
N512S488388N2,80,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,8,6,2,2
N512S488388N4,72,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,0,6,2,2
S1295683AAA1,67,True,False,BLOCKED:hollow_spec,2,2,13,12,12,8,8,6,2,2
S1295683EAA1,59,True,False,BLOCKED:hollow_spec,2,2,13,12,12,8,0,6,2,2
S1295684AAA1,57,True,False,BLOCKED:hollow_spec,2,2,11,12,12,8,0,6,2,2
S1295684GAA1,65,True,False,BLOCKED:hollow_spec,2,2,11,12,12,8,8,6,2,2
S512P500467AS,67,True,False,BLOCKED:hollow_spec,2,2,13,12,12,8,8,6,2,2
S512P500487AA,67,True,False,BLOCKED:hollow_spec,2,2,13,12,12,8,8,6,2,2
S512P500487AB,77,True,False,BLOCKED:hollow_spec,8,2,13,12,12,8,8,6,6,2
S512P500487AC,77,True,False,BLOCKED:hollow_spec,8,2,13,12,12,8,8,6,6,2
S512P500487AS,77,True,False,BLOCKED:hollow_spec,8,2,13,12,12,8,8,6,6,2
S512P500487BA,69,True,False,BLOCKED:hollow_spec,8,2,13,12,12,8,0,6,6,2
S512P500487BB,75,True,False,BLOCKED:hollow_spec,8,2,11,12,12,8,8,6,6,2
S512P500487BC,77,True,False,BLOCKED:hollow_spec,8,2,13,12,12,8,8,6,6,2
S512P500487BS,77,True,False,BLOCKED:hollow_spec,8,2,13,12,12,8,8,6,6,2
SETN506P498989A,82,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,8,6,4,2
SETN506P498989B,74,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,0,6,4,2
SETN506P498992A,76,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,0,6,6,2
SETN506P498992B,84,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,8,6,6,2
SETN506P521668A,84,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,8,6,6,2
SETN506P521668B,76,True,False,BLOCKED:hollow_spec,14,2,14,12,12,8,0,6,6,2
SI292338AAA1,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
SI292338BAA1,66,True,False,BLOCKED:hollow_spec,8,2,14,12,12,8,0,6,2,2
SI292339AAA1,59,True,False,BLOCKED:hollow_spec,4,2,11,12,12,8,0,6,2,2
SI292339BAA1,67,True,False,BLOCKED:hollow_spec,4,2,11,12,12,8,8,6,2,2
ST295660AKA,76,True,False,BLOCKED:hollow_spec,10,2,14,12,12,8,8,6,2,2
ST295660BJA,67,True,False,BLOCKED:hollow_spec,10,2,13,12,12,8,0,6,2,2
ST295683FAA,68,True,False,BLOCKED:hollow_spec,2,2,14,12,12,8,8,6,2,2
ST296965BLA,71,True,False,BLOCKED:hollow_spec,14,2,13,12,12,8,0,6,2,2
W1266P516855,76,False,False,,4,2,14,12,12,8,8,6,6,4
W1266P531698,64,False,False,,4,2,14,12,12,8,0,6,4,2
W1266P531699,74,False,False,,4,2,14,12,12,8,8,6,4,4
W1266S00016,64,False,False,,4,2,14,12,12,8,0,6,4,2
W1266S00033,78,False,False,,10,2,14,12,12,8,8,6,4,2
W1266S00034,70,False,False,,10,2,14,12,12,8,0,6,4,2
W1266S00044,70,False,False,,10,2,14,12,12,8,0,6,4,2
W1266S00045,70,False,False,,10,2,14,12,12,8,0,6,4,2
W1266S00047,78,False,False,,10,2,14,12,12,8,8,6,4,2
W1266S00050,74,False,False,,4,2,14,12,12,8,8,6,6,2
W1266S00051,74,False,False,,4,2,14,12,12,8,8,6,6,2
W6077P508994,56,False,False,,2,2,8,12,12,8,0,6,2,4
W6077P509006,56,False,False,,2,2,8,12,12,8,0,6,2,4
W6077P509019,48,False,False,,2,2,8,12,12,0,0,6,2,4
W6077P509028,69,False,False,,2,2,13,12,12,8,8,6,2,4
W6077P509042,67,False,False,,2,2,11,12,12,8,8,6,2,4
W6077P509934,69,False,False,,2,2,13,12,12,8,8,6,2,4
W770P449830,62,False,False,,2,2,14,12,12,8,0,6,2,4
W770P529851,70,False,False,,2,2,14,12,12,8,8,6,2,4
W770P529856,70,False,False,,2,2,14,12,12,8,8,6,2,4
W770S00006,60,False,False,,2,2,14,12,12,8,0,6,2,2
